numid,full name,old scientific,genus,species,common,id notes,checked by,,,,,,,,,,,,,,,,,,
32,Solanum granuloso-leprosum,Solanum granuloso-leprosum,Solanum,granuloso-leprosum,NA,"removed ""-leprosum"" from genus",AK,,,,,,,,,,,,,,,,,,
33,Ficus enormis,Ficus enormis,Ficus,enormis,NA,,AK,,,,,,,,,,,,,,,,,,
34,Syzygium oblatum,Syzygium oblatum,Syzygium,oblatum,NA,,AK,,,,,,,,,,,,,,,,,,
35,Tristerix aphyllus,Tristerix aphyllus,Tristerix,aphyllus,NA,,AK,,,,,,,,,,,,,,,,,,
36,Ficus racemosa,Ficus racemosa,Ficus,racemosa,NA,,AK,,,,,,,,,,,,,,,,,,
36,Ficus hispida,Ficus hispida,Ficus,hispida,NA,,AK,,,,,,,,,,,,,,,,,,
37,Rubia fruticosa,Rubia fruticosa,Rubia,fruticosa,NA,,AK,,,,,,,,,,,,,,,,,,
37,Neochamaelea pulverulenta,Neochamaelea pulverulenta,Neochamaelea,pulverulenta,NA,,AK,,,,,,,,,,,,,,,,,,
37,Withania aristata,Withania aristata,Withania,aristata,NA,,AK,,,,,,,,,,,,,,,,,,
37,Lycium intricatum,Lycium intricatum,Lycium,intricatum,NA,,AK,,,,,,,,,,,,,,,,,,
37,Atriplex semibaccata,Atriplex semibaccata,Atriplex,semibaccata,NA,,AK,,,,,,,,,,,,,,,,,,
37,Opuntia dillenii,Opuntia dillenii,Opuntia.,dillenii,NA,removed Scilla haemorrhoidali from name and made another row,AK,,,,,,,,,,,,,,,,,,
37,Scilla haemorrhoidali,Scilla haemorrhoidali,Scilla,haemorrhoidali,NA,new row added because Scilla haemorrhoidali was lumped withOpuntia dillenii,AK,,,,,,,,,,,,,,,,,,
38,Uvariopsis congensis,Uvariopsis congensis,Uvariopsis,congensis,NA,,AK,,,,,,,,,,,,,,,,,,
38,Mimusops bagshawei,Mimusops bagshawei,Mimusops,bagshawei,NA,,AK,,,,,,,,,,,,,,,,,,
38,Ficus spp.,Ficus spp.,Ficus,sp.,NA,Changed spp. to sp. and removed period from genus,AK,,,,,,,,,,,,,,,,,,
38,Cordia abyssinica,Cordia abyssinica,Cordia,abyssinica,NA,,AK,,,,,,,,,,,,,,,,,,
38,Aframomum spp.,Aframomum spp.,Aframomum,sp.,NA,Removed period from genus and changed spp. to sp.,AK,,,,,,,,,,,,,,,,,,
38,Monodora myristica,Monodora myristica,Monodora,myristica,NA,,AK,,,,,,,,,,,,,,,,,,
38,Warburgia stuhlmanni,Warburgia stuhlmanni,Warburgia,stuhlmanni,NA,,AK,,,,,,,,,,,,,,,,,,
38,Pseudospondias microcar,Pseudospondias microcar,Pseudospondias,microcar,NA,,AK,,,,,,,,,,,,,,,,,,
38,Tabernaemontana spp.,Tabernaemontana spp.,Tabernaemontana.,sp.,NA,Changed spp. to sp.,AK,,,,,,,,,,,,,,,,,,
38,Chgysophyllum spp.,Chgysophyllum spp.,Chgysophyllum.,sp.,NA,Changed spp. to sp.,AK,,,,,,,,,,,,,,,,,,
38,Phytolacca dodecandra,Phytolacca dodecandra,Phytolacca,dodecandra,NA,,AK,,,,,,,,,,,,,,,,,,
39,Morus macroura,Morus macroura,Morus,macroura,NA,,AK,,,,,,,,,,,,,,,,,,
