"","Genus","Species","Abbrev","Infraspecific","ID","Plant.Name.Index","TPL_version","Taxonomic.status","Family","New.Genus","New.Hybrid.marker","New.Species","New.Infraspecific","Authority","New.ID","Typo","WFormat"
"146","Ficus","enormis",NA,"","kew-2810335",TRUE,"1.1","Accepted","Moraceae","Ficus","","enormis","","(Miq.) Miq.","kew-2810335",FALSE,FALSE
"147","Syzygium","oblatum",NA,"","kew-200006",TRUE,"1.1","Accepted","Myrtaceae","Syzygium","","oblatum","","(Roxb.) Wall. ex A.M.Cowan & Cowan","kew-200006",FALSE,FALSE
"148","Tristerix","aphyllus",NA,"","tro-19100956",TRUE,"1.1","Accepted","Loranthaceae","Tristerix","","aphyllus","","(Miers ex DC.) Barlow & Wiens","tro-19100956",FALSE,FALSE
"149","Ficus","racemosa",NA,"","kew-2811980",TRUE,"1.1","Accepted","Moraceae","Ficus","","racemosa","","L.","kew-2811980",FALSE,FALSE
"150","Ficus","hispida",NA,"","kew-2810756",TRUE,"1.1","Accepted","Moraceae","Ficus","","hispida","","L.f.","kew-2810756",FALSE,FALSE
"151","Rubia","fruticosa",NA,"","kew-180273",TRUE,"1.1","Accepted","Rubiaceae","Rubia","","fruticosa","","Aiton","kew-180273",FALSE,FALSE
"152","Neochamaelea","pulverulenta",NA,"","kew-133669",TRUE,"1.1","Synonym","Rutaceae","Cneorum","","pulverulentum","","Vent.","kew-44136",FALSE,FALSE
"153","Withania","aristata",NA,"","kew-2465644",TRUE,"1.1","Unresolved","Solanaceae","Withania","","aristata","","Pauquy","kew-2465644",FALSE,FALSE
"154","Lycium","intricatum",NA,"","kew-2496762",TRUE,"1.1","Accepted","Solanaceae","Lycium","","intricatum","","Boiss.","kew-2496762",FALSE,FALSE
"155","Atriplex","semibaccata",NA,"","kew-2665777",TRUE,"1.1","Accepted","Amaranthaceae","Atriplex","","semibaccata","","R.Br.","kew-2665777",FALSE,FALSE
"156","Opuntia.","dillenii",NA,"","",FALSE,"1.1","","","Opuntia.","","dillenii","","","",FALSE,FALSE
"157","Scilla","haemorrhoidali",NA,"","kew-288711",TRUE,"1.1","Accepted","Asparagaceae","Scilla","","haemorrhoidalis","","Webb & Berthel.","kew-288711",TRUE,FALSE
"158","Uvariopsis","congensis",NA,"","kew-2448130",TRUE,"1.1","Accepted","Annonaceae","Uvariopsis","","congensis","","Robyns & Ghesq.","kew-2448130",FALSE,FALSE
"159","Mimusops","bagshawei",NA,"","kew-128387",TRUE,"1.1","Accepted","Sapotaceae","Mimusops","","bagshawei","","S.Moore","kew-128387",FALSE,FALSE
"160","Ficus","sp.",NA,"","",FALSE,"1.1","","","Ficus","","sp.","","","",FALSE,FALSE
"161","Cordia","abyssinica",NA,"","kew-2736516",TRUE,"1.1","Synonym","Boraginaceae","Cordia","","africana","","Lam.","kew-2736523",FALSE,FALSE
"162","Aframomum","sp.",NA,"","",FALSE,"1.1","","","Aframomum","","sp.","","","",FALSE,FALSE
"163","Monodora","myristica",NA,"","kew-2365380",TRUE,"1.1","Accepted","Annonaceae","Monodora","","myristica","","(Gaertn.) Dunal","kew-2365380",FALSE,FALSE
"164","Warburgia","stuhlmanni",NA,"","kew-2465887",TRUE,"1.1","Accepted","Canellaceae","Warburgia","","stuhlmannii","","Engl.","kew-2465887",TRUE,FALSE
